study_name,scenario,scenario_label,scenario_group,protocol,protocol_label,metric,count,mean,std,min,max,ci95_low,ci95_high,ci95_half_width
ablation,rising_warning,Rising Warning,evaluation,no_priority_scheduler,No Priority Scheduler,hazardous_packets_delivered,10,4189.1,236.25196060326968,3728.0,4617.0,4020.0955284291663,4358.104471570835,169.00447157083417
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,fnd,10,259.0,3.1622776601683795,250.0,260.0,256.7378428371459,261.2621571628541,2.262157162854099
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,hnd,10,260.0,0.0,260.0,260.0,260.0,260.0,0.0
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,lnd,10,260.0,0.0,260.0,260.0,260.0,260.0,0.0
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,average_residual_energy_final_round,10,0.013569428771173711,0.0038822019667282756,0.00818894307211613,0.01881399884000681,0.010792268783833124,0.0163465887585143,0.0027771599873405873
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,packet_delivery_ratio,10,0.8287882402270912,0.008958920765738945,0.8142094017094017,0.8398504273504274,0.8223794143871175,0.8351970660670649,0.0064088258399737
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,end_to_end_delay,10,1.1591834604543727,0.025932938256839996,1.1253216675244466,1.1939197930142302,1.140632153979773,1.1777347669289724,0.01855130647459971
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,average_aoi,10,0.36523504273504276,0.02093152039471879,0.3384615384615385,0.3988247863247863,0.3502615350678449,0.3802085504022406,0.014973507667197869
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,hazardous_event_delivery_success_rate,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,packets_generated,10,9358.6,4.427188724235732,9346.0,9360.0,9355.432979972005,9361.767020027995,3.167020027995739
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,packets_delivered,10,7756.3,84.17844802032828,7621.0,7861.0,7696.082365873278,7816.517634126722,60.21763412672233
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,hazardous_packets_generated,10,2487.2,27.563260571516814,2453.0,2541.0,2467.482431198609,2506.9175688013906,19.71756880139067
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,hazardous_packets_delivered,10,2487.2,27.563260571516814,2453.0,2541.0,2467.482431198609,2506.9175688013906,19.71756880139067
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,fnd,10,260.0,0.0,260.0,260.0,260.0,260.0,0.0
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,hnd,10,260.0,0.0,260.0,260.0,260.0,260.0,0.0
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,lnd,10,260.0,0.0,260.0,260.0,260.0,260.0,0.0
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,average_residual_energy_final_round,10,0.01918489826119755,0.003763956403299605,0.013754143084986946,0.02366935843427505,0.01649232605425814,0.021877470468136956,0.0026925722069394056
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,packet_delivery_ratio,10,0.8210470085470085,0.00866724543884688,0.8063034188034188,0.8318376068376069,0.8148468346664335,0.8272471824275835,0.0062001738805750545
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,end_to_end_delay,10,1.105840178484563,0.023869392675426527,1.0770320752286486,1.1391530944625408,1.0887650435924492,1.122915313376677,0.01707513489211386
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,average_aoi,10,0.38221153846153844,0.021106023937129608,0.35448717948717945,0.4188034188034188,0.36711319848015755,0.3973098784429193,0.015098339981380875
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,hazardous_event_delivery_success_rate,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,packets_generated,10,9360.0,0.0,9360.0,9360.0,9360.0,9360.0,0.0
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,packets_delivered,10,7685.0,81.1254173076067,7547.0,7786.0,7626.9663724778175,7743.0336275221825,58.03362752218244
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,hazardous_packets_generated,10,2487.2,27.563260571516814,2453.0,2541.0,2467.482431198609,2506.9175688013906,19.71756880139067
