study_name,scenario,scenario_label,scenario_group,protocol,protocol_label,seed,node_count,area_size,initial_energy,rounds_completed,fnd,hnd,lnd,average_residual_energy_over_time,average_residual_energy_final_round,packet_delivery_ratio,transmission_success_ratio,end_to_end_delay,throughput_bits_per_round,average_aoi,hazardous_event_delivery_success_rate,packets_generated,packets_attempted,packets_suppressed,packets_delivered,hazardous_packets_generated,hazardous_packets_attempted,hazardous_packets_delivered
main_comparisons,hotspot_heavy,Hotspot Heavy,evaluation,energy_aware_leach,EA-LEACH,11,36,100.0,0.09,155,112,135,155,0.03784154105164662,0.0,0.981198347107438,0.981198347107438,1.788587070962308,122554.83870967742,1.935304659498208,0.9926470588235294,4840,4840,0,4749,544,544,540
main_comparisons,hotspot_heavy,Hotspot Heavy,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,11,36,100.0,0.09,260,195,260,260,0.04018229212601609,0.002418769613746242,0.9908094341711882,0.998215082552432,1.1518775145283862,137661.53846153847,0.6581196581196581,0.99812734082397,9031,8964,67,8948,1068,1068,1066
main_comparisons,normal,Normal,evaluation,standard_leach,LEACH,13,36,100.0,0.09,260,79,139,260,0.025436930761670105,1.660880454661702e-05,0.9695327102803738,0.9695327102803738,1.6554848660111818,79800.0,27.371260683760685,1.0,5350,5350,0,5187,0,0,0
main_comparisons,normal,Normal,evaluation,energy_aware_leach,EA-LEACH,13,36,100.0,0.09,171,118,136,171,0.03465372101971293,0.0,0.9771708112515287,0.9771708112515287,1.7866082603254068,112140.35087719298,4.218648473034437,1.0,4906,4906,0,4794,0,0,0
main_comparisons,normal,Normal,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,13,36,100.0,0.09,260,260,260,260,0.05427107723720101,0.02463335323274954,0.7217948717948718,1.0,1.1415038484310243,103938.46153846153,0.5939102564102564,1.0,9360,6756,2604,6756,0,0,0
main_comparisons,rising_warning,Rising Warning,evaluation,standard_leach,LEACH,13,36,100.0,0.09,195,76,151,195,0.033375732022933625,0.0,0.9652239652239653,0.9652239652239653,1.669277462306638,104758.97435897436,8.484757834757836,0.9349736379613357,5291,5291,0,5107,1138,1138,1064
main_comparisons,rising_warning,Rising Warning,evaluation,energy_aware_leach,EA-LEACH,13,36,100.0,0.09,150,113,133,150,0.03900539175498225,0.0,0.9701492537313433,0.9701492537313433,1.8091880341880342,124800.0,1.3131481481481482,0.9143546441495778,4824,4824,0,4680,829,829,758
main_comparisons,rising_warning,Rising Warning,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,13,36,100.0,0.09,260,225,260,260,0.04084585788373193,0.0019176481811756356,0.9967227441555604,0.9980310654123824,1.15223586146427,140369.23076923078,0.24305555555555558,0.9957835558678847,9154,9142,12,9124,4269,4269,4251
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,standard_leach,LEACH,13,36,100.0,0.09,260,87,143,260,0.024510463909657318,0.0,0.9686004212138618,0.9686004212138618,1.6967780193714173,77830.76923076923,27.81613247863248,0.8827977315689981,5223,5223,0,5059,1058,1058,934
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,energy_aware_leach,EA-LEACH,13,36,100.0,0.09,154,107,136,154,0.03787200807121866,0.0,0.9614986545228731,0.9614986545228731,1.82497308934338,120649.35064935064,1.969516594516594,0.7652645861601085,4831,4831,0,4645,737,737,564
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,13,36,100.0,0.09,260,260,260,260,0.05157164634844654,0.016799764119692757,0.8336538461538462,1.0,1.1364859669357938,120046.15384615384,0.3530982905982906,1.0,9360,7803,1557,7803,2541,2541,2541
main_comparisons,hotspot_heavy,Hotspot Heavy,evaluation,standard_leach,LEACH,13,36,100.0,0.09,255,85,141,255,0.025888841001913635,0.0,0.9739921976592978,0.9739921976592978,1.6456227350753385,82243.13725490196,25.14466230936819,0.9672591206735267,5383,5383,0,5243,1069,1069,1034
main_comparisons,hotspot_heavy,Hotspot Heavy,evaluation,energy_aware_leach,EA-LEACH,13,36,100.0,0.09,148,116,133,148,0.03970419737487718,0.0,0.9741307947019867,0.9741307947019867,1.8066709156575314,127216.21621621621,1.0711336336336337,0.989010989010989,4832,4832,0,4707,819,819,810
main_comparisons,hotspot_heavy,Hotspot Heavy,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,13,36,100.0,0.09,260,211,260,260,0.04135018498588123,0.003937019352324675,0.9934174437739989,0.9990070609002648,1.143014908890116,139307.6923076923,0.5236111111111111,0.9973509933774835,9115,9064,51,9055,1510,1510,1506
main_comparisons,normal,Normal,evaluation,standard_leach,LEACH,17,36,100.0,0.09,251,88,152,251,0.026845136154056808,0.0,0.9768115942028985,0.9768115942028985,1.5958827893175074,85928.28685258965,21.617419212040723,1.0,5520,5520,0,5392,0,0,0
main_comparisons,normal,Normal,evaluation,energy_aware_leach,EA-LEACH,17,36,100.0,0.09,152,112,140,152,0.0393860568650419,0.0,0.979546821736515,0.979546821736515,1.741453428863869,128552.63157894737,0.9698464912280703,1.0,4987,4987,0,4885,0,0,0
main_comparisons,normal,Normal,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,17,36,100.0,0.09,260,260,260,260,0.05258742122864285,0.021614799870504513,0.6912393162393162,1.0,1.1862442040185472,99538.46153846153,0.6740384615384616,1.0,9360,6470,2890,6470,0,0,0
main_comparisons,rising_warning,Rising Warning,evaluation,standard_leach,LEACH,17,36,100.0,0.09,228,62,150,228,0.02890005863227682,0.0,0.9730286570518824,0.9730286570518824,1.6550529355149182,91140.35087719298,16.736476608187136,0.9452054794520548,5339,5339,0,5195,1022,1022,966
main_comparisons,rising_warning,Rising Warning,evaluation,energy_aware_leach,EA-LEACH,17,36,100.0,0.09,172,119,134,172,0.034376557487986945,0.0,0.9595814526056627,0.9595814526056627,1.7979474021808852,108767.44186046511,4.612080103359173,0.9012875536480687,4874,4874,0,4677,699,699,630
main_comparisons,rising_warning,Rising Warning,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,17,36,100.0,0.09,260,208,246,260,0.03951443877358453,0.00207764329921462,0.9956950266228617,0.9971636033582936,1.1760154738878144,135215.38461538462,0.8979700854700854,0.9933386624034106,8827,8814,13,8789,3753,3753,3728
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,standard_leach,LEACH,17,36,100.0,0.09,224,80,155,224,0.02918986157363876,0.0,0.9764221556886228,0.9764221556886228,1.6379839018781142,93178.57142857143,15.684027777777777,0.9273927392739274,5344,5344,0,5218,1212,1212,1124
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,energy_aware_leach,EA-LEACH,17,36,100.0,0.09,165,111,140,165,0.0367456625765201,0.0,0.9674150606000398,0.9674150606000398,1.7291024851098789,118036.36363636363,2.5493265993265988,0.8317972350230415,5033,5033,0,4869,868,868,722
